,country,article_name,revision_id,article_quality_est.,population
3,Czech Republic,Julius Gregr,395521877,Stub,
4,Czech Republic,Edvard Gregr,395526568,Stub,
14,Poland,List of politicians in Poland,516633096,,38368000.0
21,Vanuatu,Tingtingru,550682925,,321000.0
31,Salvadoran,Timoteo Menéndez,566504165,Stub,
33,Rhodesian,Gervas Clay,574571582,Stub,
36,"Congo, Dem. Rep. of",Mavua Mudima,592289232,Stub,
51,Afghanistan,Daud Arsala,627547024,,38928000.0
75,India,Book:Two Political Biographies,636911471,,1400100000.0
80,East Timorese,"List of members of the parliament of East Timor, 2001–07",638566016,Start,
92,Faroese,"List of members of the Løgting, 1974–78",643932216,Start,
93,Faroese,"List of members of the Løgting, 1978–80",643932220,Start,
94,Faroese,"List of members of the Løgting, 1980–84",643932225,Start,
95,Faroese,"List of members of the Løgting, 1984–88",643932226,Start,
96,Faroese,"List of members of the Løgting, 1990–94",643932239,Start,
97,Faroese,"List of members of the Løgting, 1994–98",643932242,Start,
103,Cape Colony,James Bisset (mayor),647367482,Start,
113,Cape Colony,Augustus Joseph Tancred,651250302,Stub,
116,Cape Colony,Johan Conrad Silberbauer,653467222,Stub,
135,"Congo, Dem. Rep. of",List of provincial governors of the Democratic Republic of the Congo,663088604,Stub,
137,South Korean,"List of members of the National Assembly (South Korea), 1950–54",663348266,Stub,
149,Cape Colony,James Cotterell Hoole,666596918,Stub,
165,Rhodesian,Harry Davies (politician),669387487,Start,
180,Turkey,Dilaver Bey,669987106,,83737000.0
182,Cape Colony,Patrick Goold,670210734,Start,
204,Nepal,Bharat Saud,671484594,,29996000.0
206,Samoan,Toluono Feti,671515606,Stub,
221,Czech Republic,Miroslav Poche,672862914,Stub,
222,Czech Republic,Vojtěch Mynář,673008587,Stub,
227,Montserratian,Speaker of the Legislative Assembly of Montserrat,674919905,Stub,
242,Cape Colony,Andries Botha,676828191,B,
264,Salvadoran,Joaquín Escolán y Balibrera,679294949,Stub,
276,Cape Colony,Charles William Hutton,680205631,C,
278,Pitcairn Islands,Chairman of the Island Council (Pitcairn),680532939,Stub,
287,Australia,Book:Australian Prime Ministers,680981536,,25754000.0
293,Rhodesian,William Fairbridge,682576258,Start,
301,Poland,Robert Sych,684023803,,38368000.0
302,Poland,Marek Krzysztof Jeleniewski,684023859,,38368000.0
332,Saint Kitts and Nevis,Earl Asim Martin,687127320,Stub,
361,Macedonia,List of mayors of Radoviš,690088836,Stub,
397,Cape Colony,John Blades Currey,693624260,Stub,
410,Abkhazia,Zaur Avidzba,694519009,Start,
434,Iran,Khanzahi,696608092,,84150000.0
483,Nepal,Narayani Datt Chataut,698572327,,29996000.0
510,Faroese,"List of members of the Løgting, 1998–2002",698865505,Start,
547,Pakistan,Mohammad Amjad,699260156,,220940000.0
582,East Timorese,José Abel,699698855,Stub,
600,Faroese,Tórbjørn Poulsen,700400143,Stub,
625,Faroese,Demmus Hentze,701771698,Start,
656,Niuean,Young Vivian,703037968,Start,
675,Ivorian,Noel Ahipeaud,703133769,Stub,
706,Carniolan,Simon Jenko,703436823,Start,
709,South Korean,Park In-won,703478926,Stub,
728,Saint Kitts and Nevis,Paul Southwell,703666654,Start,
736,Spain,Gomez das Mariñas,703773782,,47635000.0
737,Saint Lucian,Petrus Compton,703819839,Stub,
758,Czech Republic,Jan Malypetr,704424304,Stub,
794,South African Republic,Thomas François Burgers,704636517,C,
804,Hondura,Céleo Arias,704789339,Stub,
823,Samoan,James Ah Koy,704919844,B,
827,Abkhazia,Zaur Ardzinba,704938340,Start,
840,Czech Republic,Emanuel Moravec,705080136,Start,
858,Samoan,Va'aelua Eti Alesana,705218371,Start,
887,Hondura,Juan Francisco de Molina,705346284,Stub,
888,Hondura,Felipe Neri Medina,705346304,Stub,
889,Hondura,Mariano Garrigó,705346378,Stub,
890,Hondura,José María Bustillo (Honduran),705346396,Stub,
891,Hondura,Francisco Gómez (acting president),705346462,Stub,
892,Hondura,Salvador Aguirre (Honduras),705346724,Stub,
893,Hondura,Francisco Bográn,705346741,Stub,
915,Salvadoran,Fermín Palacios,705353491,Stub,
916,Salvadoran,Eugenio Aguilar,705353565,Stub,
917,Salvadoran,Tomás Medina,705353584,Stub,
918,Salvadoran,Ramón Rodríguez (Salvadoran politician),705353647,Stub,
919,Salvadoran,Vicente Gómez,705353678,Stub,
920,Salvadoran,Lorenzo Zepeda,705353843,Stub,
921,Salvadoran,José María Peralta,705353896,Stub,
922,Salvadoran,Francisco Menéndez,705353975,Stub,
923,Salvadoran,Pedro José Escalón,705354095,Stub,
924,Salvadoran,Fernando Figueroa,705354112,Stub,
925,Salvadoran,Carlos Meléndez (politician),705354212,Stub,
